"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L1234","Fast","example.Fast","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\Fast.java","21","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.166667","1","0","0","1","0.166667","1","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L1237","FastTest","example.FastTest","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\FastTest.java","22","1","27","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0.142857","1","0","0","1","0.142857","1","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L456","ExpectToFail","extensions.ExpectToFail","L2428","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\extensions\ExpectToFail.java","27","1","51","2","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","19","25","1","1","1","1","3","0","2","0","3","3","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","12","0","0","1","0","0","0","0","0"
"L626","ConditionalTestExecutionDemo$TestOnMac","example.ConditionalTestExecutionDemo$TestOnMac","L616","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\ConditionalTestExecutionDemo.java","66","2","71","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L1179","Random","example.extensions.Random","L1174","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\extensions\Random.java","21","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.285714","2","1","1","0","0.285714","2","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1653","ParameterizedTestDemo$CsvToPerson","example.ParameterizedTestDemo$CsvToPerson","L1345","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\ParameterizedTestDemo.java","431","5","435","6","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.285714","2","2","1","0","0.285714","2","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L527","AfterAll","org.junit.jupiter.api.AfterAll","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AfterAll.java","88","1","93","2","0","0","0","0","0","0","0","0","0","0","0","0","0","69","0","0","0","1","0.915493","65","65","1","0","0.915493","65","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L521","AfterEach","org.junit.jupiter.api.AfterEach","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AfterEach.java","83","1","88","2","0","0","0","0","0","0","0","0","0","0","0","0","0","89","0","0","0","1","0.909091","60","60","1","0","0.909091","60","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L505","BeforeAll","org.junit.jupiter.api.BeforeAll","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\BeforeAll.java","88","1","93","2","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","1","0.915493","65","65","1","0","0.915493","65","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","BeforeEach","org.junit.jupiter.api.BeforeEach","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\BeforeEach.java","83","1","88","2","0","0","0","0","0","0","0","0","0","0","0","0","0","144","0","0","0","1","0.909091","60","60","1","0","0.909091","60","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L817","Disabled","org.junit.jupiter.api.Disabled","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Disabled.java","53","1","64","2","0","0","0","0","0","0","0","0","0","0","0","1","0","40","1","0","1","1","0.825","33","33","1","0","0.825","33","0","0","0","0","0","7","12","0","0","0","0","1","0","0","0","1","0","0","0","0","7","12","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L827","DisplayName","org.junit.jupiter.api.DisplayName","L2758","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DisplayName.java","37","1","51","2","0","0","0","0","0","0","0","0","0","0","0","1","0","54","1","0","1","1","0.740741","20","20","1","0","0.740741","20","0","0","0","0","0","7","15","0","0","0","0","1","0","0","0","1","0","0","0","0","7","15","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
