"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L387","calculator","example.AssertionsDemo.calculator;Lexample/util/Calculator;","L385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\AssertionsDemo.java","34","2","34","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L390","person","example.AssertionsDemo.person;Lexample/domain/Person;","L385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\AssertionsDemo.java","36","2","36","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L478","calculator","example.AssumptionsDemo.calculator;Lexample/util/Calculator;","L476","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\AssumptionsDemo.java","26","2","26","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L887","calculator","example.DynamicTestsDemo.calculator;Lexample/util/Calculator;","L882","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\DynamicTestsDemo.java","47","2","47","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1077","calculator","example.ExampleTestCase.calculator;Lexample/util/Calculator;","L1069","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\ExampleTestCase.java","29","2","29","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1240","calculator","example.HamcrestAssertionsDemo.calculator;Lexample/util/Calculator;","L1238","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\HamcrestAssertionsDemo.java","24","2","24","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1320","calculator","example.MyFirstJUnitJupiterTests.calculator;Lexample/util/Calculator;","L1318","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\MyFirstJUnitJupiterTests.java","22","2","22","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1691","logger","example.RepeatedTestsDemo.logger;LLogger;","L1689","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\RepeatedTestsDemo.java","26","2","28","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1825","backup","example.SharedResourcesDemo.backup;Ljava/util/Properties;","L1817","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\SharedResourcesDemo.java","32","2","32","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1959","stack","example.TestingAStackDemo.stack;Ljava/util/Stack;","L1957","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\documentation\src\test\java\example\TestingAStackDemo.java","30","2","30","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
