"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L48745","EventType","org.junit.vintage.engine.execution.EventType","L48736","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-vintage-engine\src\main\java\org\junit\vintage\engine\execution\EventType.java","16","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.5","3","3","1","0","0.5","3","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L12312","DynamicDescendantFilter$Mode","org.junit.jupiter.engine.descriptor.DynamicDescendantFilter$Mode","L12252","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\DynamicDescendantFilter.java","56","2","58","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L14526","MethodSelectorResolver$MethodType","org.junit.jupiter.engine.discovery.MethodSelectorResolver$MethodType","L14366","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\MethodSelectorResolver.java","143","2","228","3","0","0","0","0","0","0","0","0","2","1","1","10","8","3","5","9","15","0","0.0169492","1","0","0","1","0.0135135","1","0","0","3","3","0","58","68","6","0","6","0","6","3","0","0","6","17","3","0","0","73","86","6","0","6","0","9","3","0","0","24","20","3","0","0","0","0","42","0","0","0","0","0","0","1","0","0","0","0","30","0","0","0","0","0","0","0","11"
"L17033","TempDirectory$Scope","org.junit.jupiter.engine.extension.TempDirectory$Scope","L16773","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\extension\TempDirectory.java","306","2","312","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","7","2","0","2","0","0","2","0","0","0","0","2","0","0","4","7","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L18641","InvocationInterceptorTests$InvocationType","org.junit.jupiter.engine.extension.InvocationInterceptorTests$InvocationType","L18580","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\InvocationInterceptorTests.java","201","2","211","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","11","11","9","0","9","0","0","9","0","0","0","0","9","0","0","11","11","9","0","9","0","0","9","0","0","0","0","9","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","6"
"L24937","AggregatorIntegrationTests$Gender","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$Gender","L24827","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","232","2","234","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L26616","EnumSource$Mode","org.junit.jupiter.params.provider.EnumSource$Mode","L1378","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","96","2","169","3","0","0","0","0","0","0","0","0","7","1","1","10","4","4","25","4","13","1","0.383333","23","23","1","0","0.365079","23","0","0","0","0","0","37","71","6","0","6","0","9","4","0","0","9","13","4","0","0","40","74","6","0","6","0","10","4","1","0","10","13","4","1","0","0","0","29","0","0","1","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","5"
"L27063","EnumArgumentsProviderTests$EnumWithTwoConstants","org.junit.jupiter.params.provider.EnumArgumentsProviderTests$EnumWithTwoConstants","L27056","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumArgumentsProviderTests.java","119","2","121","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L27134","EnumSourceTests$EnumWithThreeConstants","org.junit.jupiter.params.provider.EnumSourceTests$EnumWithThreeConstants","L27125","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumSourceTests.java","94","2","97","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","4","3","0","3","0","0","3","0","0","0","0","3","0","0","3","4","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L12717","ReflectionUtils$HierarchyTraversalMode","org.junit.platform.commons.util.ReflectionUtils$HierarchyTraversalMode","L8580","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-commons\src\main\java\org\junit\platform\commons\util\ReflectionUtils.java","89","2","100","3","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.714286","10","10","1","0","0.714286","10","0","0","0","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L33807","PicocliCommandLineOptionsParserTests$ArgsType","org.junit.platform.console.options.PicocliCommandLineOptionsParserTests$ArgsType","L33753","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\platform-tests\src\test\java\org\junit\platform\console\options\PicocliCommandLineOptionsParserTests.java","585","2","608","3","0","0","0","0","0","0","0","0","1","0","0","3","3","3","125","2","4","0","0","0","0","0","1","0","0","0","0","2","2","0","10","11","2","0","2","0","2","2","0","0","2","1","2","0","0","23","24","2","0","2","0","4","2","0","0","6","7","2","0","0","0","0","25","0","0","1","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","8"
"L38178","DefaultParallelExecutionConfigurationStrategy","org.junit.platform.engine.support.hierarchical.DefaultParallelExecutionConfigurationStrategy","L38055","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\DefaultParallelExecutionConfigurationStrategy.java","29","1","139","2","0","0","0","0","0","0","0","0","0","0","0","1","5","6","2","9","10","1","0.742424","49","49","1","0","0.485714","51","1","1","3","3","1","17","70","8","1","8","1","1","7","0","0","2","1","7","1","0","54","111","8","4","8","1","4","7","3","0","8","9","7","4","0","0","1","28","0","0","0","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0","11"
"L40973","EngineDiscoveryOrchestrator$Phase","org.junit.platform.launcher.core.EngineDiscoveryOrchestrator$Phase","L40918","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\EngineDiscoveryOrchestrator.java","234","2","241","3","0","0","0","0","0","0","0","0","1","0","0","1","0","4","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","8","2","0","2","0","1","2","1","0","1","1","2","1","0","7","8","2","0","2","0","1","2","1","0","1","1","2","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4"
"L41956","OutcomeDelayingEngineExecutionListener$Outcome","org.junit.platform.launcher.core.OutcomeDelayingEngineExecutionListener$Outcome","L41381","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\OutcomeDelayingEngineExecutionListener.java","86","2","88","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L43936","Operator$Associativity","org.junit.platform.launcher.tagexpression.Operator$Associativity","L43934","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-launcher\src\main\java\org\junit\platform\launcher\tagexpression\Operator.java","27","2","29","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L12655","ExclusiveResource$LockMode","org.junit.platform.engine.support.hierarchical.ExclusiveResource$LockMode","L11792","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\ExclusiveResource.java","116","2","132","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.809524","17","17","1","0","0.809524","17","0","0","0","0","0","4","17","2","0","2","0","0","2","0","0","0","0","2","0","0","4","17","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L11744","Node$ExecutionMode","org.junit.platform.engine.support.hierarchical.Node$ExecutionMode","L12522","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\Node.java","328","2","344","3","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0.782609","18","18","1","0","0.782609","18","0","0","0","0","0","5","17","2","0","2","0","0","2","0","0","0","0","2","0","0","5","17","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L43099","LauncherDiscoveryListeners$LauncherDiscoveryListenerType","org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners$LauncherDiscoveryListenerType","L41799","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\LauncherDiscoveryListeners.java","105","2","119","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","10","15","4","0","4","0","1","2","0","0","1","2","2","0","0","10","15","4","0","4","0","1","2","0","0","1","2","2","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4"
"L45588","XmlReportAssertions$CachedSchema","org.junit.platform.reporting.legacy.xml.XmlReportAssertions$CachedSchema","L45580","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\platform-tests\src\test\java\org\junit\platform\reporting\legacy\xml\XmlReportAssertions.java","40","2","60","3","0","0","0","0","0","0","0","0","1","1","1","3","1","1","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","17","21","2","0","2","0","2","1","0","0","2","6","1","0","0","17","21","2","0","2","0","2","1","0","0","2","6","1","0","0","0","0","11","1","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","4"
"L38001","SelectorResolver$Match$Type","org.junit.platform.engine.support.discovery.SelectorResolver$Match$Type","L14517","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-engine\src\main\java\org\junit\platform\engine\support\discovery\SelectorResolver.java","649","3","651","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L45286","XmlReportWriter$AggregatedTestResult$Type","org.junit.platform.reporting.legacy.xml.XmlReportWriter$AggregatedTestResult$Type","L45211","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\junit-platform-reporting\src\main\java\org\junit\platform\reporting\legacy\xml\XmlReportWriter.java","404","3","414","4","0","0","0","0","0","0","0","0","1","1","1","3","3","2","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","9","11","4","0","4","0","1","4","0","0","1","3","4","0","0","9","11","4","0","4","0","1","4","0","0","1","3","4","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4"
